id,sepal_length,sepal_width,petal_length,petal_width
1,0.974683544303797,0.863636363636364,0.971014492753623,0.88
2,0.974683544303797,0.590909090909091,1,0.92
3,0.759493670886076,0.5,0.72463768115942,0.6
4,0.873417721518987,0.727272727272727,0.826086956521739,0.92
5,0.708860759493671,0.636363636363636,0.710144927536232,0.8
6,0.974683544303797,0.636363636363636,0.971014492753623,0.8
7,0.79746835443038,0.613636363636364,0.710144927536232,0.72
8,0.848101265822785,0.75,0.826086956521739,0.84
9,0.911392405063291,0.727272727272727,0.869565217391304,0.72
10,0.784810126582278,0.636363636363636,0.695652173913043,0.72
11,0.772151898734177,0.681818181818182,0.710144927536232,0.72
12,0.810126582278481,0.636363636363636,0.811594202898551,0.84
13,0.911392405063291,0.681818181818182,0.840579710144927,0.64
14,0.645569620253164,0.568181818181818,0.434782608695652,0.44
15,0.721518987341772,0.636363636363636,0.594202898550725,0.52
16,0.79746835443038,0.75,0.869565217391304,1
17,0.784810126582278,0.772727272727273,0.782608695652174,0.92
18,0.759493670886076,0.613636363636364,0.739130434782609,0.64
19,0.683544303797468,0.681818181818182,0.652173913043478,0.6
20,0.734177215189873,0.613636363636364,0.739130434782609,0.76
21,0.89873417721519,0.681818181818182,0.855072463768116,0.84
22,0.79746835443038,0.659090909090909,0.811594202898551,0.72
23,0.822784810126582,0.681818181818182,0.840579710144927,0.88
24,0.962025316455696,0.681818181818182,0.956521739130435,0.84
25,0.620253164556962,0.568181818181818,0.652173913043478,0.68
26,0.924050632911392,0.659090909090909,0.91304347826087,0.72
27,0.848101265822785,0.568181818181818,0.840579710144927,0.72
28,0.911392405063291,0.818181818181818,0.884057971014493,1
29,0.822784810126582,0.727272727272727,0.739130434782609,0.8
30,0.810126582278481,0.613636363636364,0.768115942028985,0.76
31,0.860759493670886,0.681818181818182,0.797101449275362,0.84
32,0.936708860759494,0.636363636363636,0.884057971014493,0.76
33,1,0.863636363636364,0.927536231884058,0.8
34,0.810126582278481,0.636363636363636,0.811594202898551,0.88
35,0.79746835443038,0.636363636363636,0.739130434782609,0.6
36,0.772151898734177,0.590909090909091,0.811594202898551,0.56
37,0.974683544303797,0.681818181818182,0.884057971014493,0.92
38,0.79746835443038,0.772727272727273,0.811594202898551,0.96
39,0.810126582278481,0.704545454545454,0.797101449275362,0.72
40,0.759493670886076,0.681818181818182,0.695652173913043,0.72
41,0.873417721518987,0.704545454545454,0.782608695652174,0.84
42,0.848101265822785,0.704545454545454,0.811594202898551,0.96
43,0.873417721518987,0.704545454545454,0.739130434782609,0.92
44,0.734177215189873,0.613636363636364,0.739130434782609,0.76
45,0.860759493670886,0.727272727272727,0.855072463768116,0.92
46,0.848101265822785,0.75,0.826086956521739,1
47,0.848101265822785,0.681818181818182,0.753623188405797,0.92
48,0.79746835443038,0.568181818181818,0.72463768115942,0.76
49,0.822784810126582,0.681818181818182,0.753623188405797,0.8
50,0.759493670886076,0.772727272727273,0.652173913043478,0.64
51,0.848101265822785,0.704545454545454,0.681159420289855,0.6
52,0.79746835443038,0.522727272727273,0.63768115942029,0.52
53,0.708860759493671,0.681818181818182,0.594202898550725,0.52
54,0.69620253164557,0.568181818181818,0.579710144927536,0.52
55,0.69620253164557,0.590909090909091,0.63768115942029,0.48
56,0.772151898734177,0.681818181818182,0.666666666666667,0.56
57,0.734177215189873,0.590909090909091,0.579710144927536,0.48
58,0.632911392405063,0.522727272727273,0.478260869565217,0.4
59,0.708860759493671,0.613636363636364,0.608695652173913,0.52
60,0.721518987341772,0.681818181818182,0.608695652173913,0.48
61,0.721518987341772,0.659090909090909,0.608695652173913,0.52
62,0.784810126582278,0.659090909090909,0.623188405797101,0.52
63,0.746835443037975,0.681818181818182,0.739130434782609,0.72
64,0.886075949367089,0.727272727272727,0.681159420289855,0.56
65,0.810126582278481,0.727272727272727,0.652173913043478,0.6
66,0.873417721518987,0.704545454545454,0.710144927536232,0.6
67,0.69620253164557,0.522727272727273,0.579710144927536,0.52
68,0.822784810126582,0.636363636363636,0.666666666666667,0.6
69,0.721518987341772,0.636363636363636,0.652173913043478,0.52
70,0.79746835443038,0.75,0.681159420289855,0.64
71,0.620253164556962,0.545454545454545,0.478260869565217,0.4
72,0.835443037974683,0.659090909090909,0.666666666666667,0.52
73,0.658227848101266,0.613636363636364,0.565217391304348,0.56
74,0.632911392405063,0.454545454545455,0.507246376811594,0.4
75,0.746835443037975,0.681818181818182,0.608695652173913,0.6
76,0.759493670886076,0.5,0.579710144927536,0.4
77,0.708860759493671,0.659090909090909,0.521739130434783,0.52
78,0.848101265822785,0.704545454545454,0.63768115942029,0.56
79,0.708860759493671,0.681818181818182,0.652173913043478,0.6
80,0.734177215189873,0.613636363636364,0.594202898550725,0.4
81,0.784810126582278,0.5,0.652173913043478,0.6
82,0.708860759493671,0.568181818181818,0.565217391304348,0.44
83,0.746835443037975,0.727272727272727,0.695652173913043,0.72
84,0.772151898734177,0.636363636363636,0.579710144927536,0.52
85,0.79746835443038,0.568181818181818,0.710144927536232,0.6
86,0.772151898734177,0.636363636363636,0.681159420289855,0.48
87,0.810126582278481,0.659090909090909,0.623188405797101,0.52
88,0.835443037974683,0.681818181818182,0.63768115942029,0.56
89,0.860759493670886,0.636363636363636,0.695652173913043,0.56
90,0.848101265822785,0.681818181818182,0.72463768115942,0.68
91,0.759493670886076,0.659090909090909,0.652173913043478,0.6
92,0.721518987341772,0.590909090909091,0.507246376811594,0.4
93,0.69620253164557,0.545454545454545,0.550724637681159,0.44
94,0.69620253164557,0.545454545454545,0.536231884057971,0.4
95,0.734177215189873,0.613636363636364,0.565217391304348,0.48
96,0.721518987341772,0.568181818181818,0.72463768115942,0.8
97,0.734177215189873,0.636363636363636,0.739130434782609,0.96
98,0.810126582278481,0.727272727272727,0.768115942028985,0.92
99,0.645569620253164,0.795454545454545,0.202898550724638,0.08
100,0.620253164556962,0.681818181818182,0.202898550724638,0.08
101,0.594936708860759,0.727272727272727,0.188405797101449,0.08
102,0.582278481012658,0.704545454545454,0.217391304347826,0.08
103,0.632911392405063,0.818181818181818,0.202898550724638,0.08
104,0.683544303797468,0.886363636363636,0.246376811594203,0.16
105,0.582278481012658,0.772727272727273,0.202898550724638,0.12
106,0.632911392405063,0.772727272727273,0.217391304347826,0.08
107,0.556962025316456,0.659090909090909,0.202898550724638,0.08
108,0.620253164556962,0.704545454545454,0.217391304347826,0.04
109,0.683544303797468,0.840909090909091,0.217391304347826,0.08
